,model_electra,perturbation,exact_match_electra,f1_score_electra,model_bert,exact_match_bert,f1_score_bert,model,exact_match,f1_score,model_gelectra,exact_match_gelectra,f1_score_gelectra
0,electra-base-de-squad2,delete_chara_random_verb_question_four_charas,50.82,66.52,bert-multi-english-german-squad2,48.68,64.02,xlm-roberta-base-squad2,46.01,61.28,gelectra-base-germanquad,53.09,68.34
1,electra-base-de-squad2,insert_chara_random_verb_context_four_charas,54.85,70.62,bert-multi-english-german-squad2,52.0,67.65,xlm-roberta-base-squad2,49.73,65.71,gelectra-base-germanquad,56.99,71.95
2,electra-base-de-squad2,delete_chara_random_verb_context_four_charas,55.13,70.79,bert-multi-english-german-squad2,52.63,68.39,xlm-roberta-base-squad2,50.14,66.18,gelectra-base-germanquad,56.72,71.88
3,electra-base-de-squad2,insert_chara_random_word_question_four_charas,50.02,65.96,bert-multi-english-german-squad2,47.16,63.03,xlm-roberta-base-squad2,45.8,61.2,gelectra-base-germanquad,52.02,67.25
4,electra-base-de-squad2,repeat_chara_random_word_question_four_charas,50.77,66.53,bert-multi-english-german-squad2,48.82,64.27,xlm-roberta-base-squad2,46.87,62.58,gelectra-base-germanquad,53.18,68.02
5,electra-base-de-squad2,delete_chara_random_word_question_four_charas,49.93,65.21,bert-multi-english-german-squad2,48.39,63.67,xlm-roberta-base-squad2,45.25,59.99,gelectra-base-germanquad,52.57,67.69
6,electra-base-de-squad2,insert_chara_random_word_context_four_charas,51.91,69.0,bert-multi-english-german-squad2,50.68,66.78,xlm-roberta-base-squad2,48.32,64.65,gelectra-base-germanquad,54.59,71.3
7,electra-base-de-squad2,insert_chara_random_verb_question_four_charas,50.91,66.74,bert-multi-english-german-squad2,47.96,63.37,xlm-roberta-base-squad2,45.87,60.95,gelectra-base-germanquad,53.86,68.63
8,electra-base-de-squad2,delete_chara_random_word_context_four_charas,54.28,70.73,bert-multi-english-german-squad2,50.87,67.18,xlm-roberta-base-squad2,49.27,65.95,gelectra-base-germanquad,55.24,71.45
9,electra-base-de-squad2,split_random_verb_question_four_words,50.55,66.15,bert-multi-english-german-squad2,47.12,63.86,xlm-roberta-base-squad2,45.85,61.89,gelectra-base-germanquad,52.27,66.82
10,electra-base-de-squad2,delete_random_verb_question_four_words,49.89,65.51,bert-multi-english-german-squad2,45.18,60.65,xlm-roberta-base-squad2,42.3,57.42,gelectra-base-germanquad,49.94,65.65
11,electra-base-de-squad2,delete_random_verb_context_four_words,55.26,71.19,bert-multi-english-german-squad2,52.45,67.96,xlm-roberta-base-squad2,49.68,66.02,gelectra-base-germanquad,56.17,71.84
12,electra-base-de-squad2,repeat_random_word_question_four_words,55.17,71.67,bert-multi-english-german-squad2,51.23,67.55,xlm-roberta-base-squad2,48.82,64.63,gelectra-base-germanquad,56.67,71.26
13,electra-base-de-squad2,split_random_verb_context_four_words,52.95,69.31,bert-multi-english-german-squad2,51.5,67.35,xlm-roberta-base-squad2,49.36,65.6,gelectra-base-germanquad,56.4,71.64
14,electra-base-de-squad2,split_random_word_question_four_words,31.35,42.03,bert-multi-english-german-squad2,33.35,45.67,xlm-roberta-base-squad2,35.66,48.81,gelectra-base-germanquad,34.85,49.56
15,electra-base-de-squad2,delete_random_word_context_four_words,50.36,69.72,bert-multi-english-german-squad2,48.19,66.13,xlm-roberta-base-squad2,45.42,63.67,gelectra-base-germanquad,51.59,70.37
16,electra-base-de-squad2,delete_random_word_question_four_words,24.82,35.81,bert-multi-english-german-squad2,22.28,33.64,xlm-roberta-base-squad2,20.33,30.96,gelectra-base-germanquad,24.36,36.3
17,electra-base-de-squad2,repeat_random_verb_question_four_words,54.76,71.57,bert-multi-english-german-squad2,52.27,68.33,xlm-roberta-base-squad2,49.22,65.52,gelectra-base-germanquad,56.64,71.9
18,electra-base-de-squad2,repeat_random_verb_context_four_words,54.58,71.03,bert-multi-english-german-squad2,51.32,67.47,xlm-roberta-base-squad2,49.59,65.95,gelectra-base-germanquad,55.9,72.01
19,electra-base-de-squad2,repeat_random_word_context_four_words,50.54,69.71,bert-multi-english-german-squad2,48.14,67.05,xlm-roberta-base-squad2,46.55,64.81,gelectra-base-germanquad,51.68,71.19
20,electra-base-de-squad2,split_random_word_context_four_words,47.82,66.12,bert-multi-english-german-squad2,46.78,64.35,xlm-roberta-base-squad2,45.6,62.72,gelectra-base-germanquad,49.73,68.04
21,electra-base-de-squad2,replace_chara_random_word_context_three_charas,53.37,70.29,bert-multi-english-german-squad2,50.64,67.01,xlm-roberta-base-squad2,48.45,65.1,gelectra-base-germanquad,55.61,71.31
22,electra-base-de-squad2,repeat_chara_random_verb_context_three_charas,55.35,70.92,bert-multi-english-german-squad2,52.04,67.51,xlm-roberta-base-squad2,50.14,66.1,gelectra-base-germanquad,56.85,72.09
23,electra-base-de-squad2,swap_chara_verb_context_three_charas,54.95,70.92,bert-multi-english-german-squad2,51.86,67.76,xlm-roberta-base-squad2,50.14,66.16,gelectra-base-germanquad,57.08,72.04
24,electra-base-de-squad2,swap_chara_verb_question_three_charas,51.36,67.12,bert-multi-english-german-squad2,48.68,64.25,xlm-roberta-base-squad2,47.1,62.31,gelectra-base-germanquad,53.77,68.82
25,electra-base-de-squad2,delete_chara_random_verb_question_three_charas,50.86,66.72,bert-multi-english-german-squad2,47.78,63.51,xlm-roberta-base-squad2,46.23,61.55,gelectra-base-germanquad,52.86,68.45
26,electra-base-de-squad2,insert_chara_random_verb_context_three_charas,54.95,70.87,bert-multi-english-german-squad2,52.22,68.18,xlm-roberta-base-squad2,49.36,65.2,gelectra-base-germanquad,56.99,72.29
27,electra-base-de-squad2,swap_chara_random_word_context_three_charas,53.53,70.36,bert-multi-english-german-squad2,50.57,67.08,xlm-roberta-base-squad2,48.79,65.54,gelectra-base-germanquad,54.95,71.33
28,electra-base-de-squad2,repeat_chara_random_verb_question_three_charas,51.0,67.26,bert-multi-english-german-squad2,49.0,64.76,xlm-roberta-base-squad2,47.32,62.77,gelectra-base-germanquad,53.99,68.73
29,electra-base-de-squad2,delete_chara_random_verb_context_three_charas,54.76,70.89,bert-multi-english-german-squad2,52.0,68.05,xlm-roberta-base-squad2,49.59,65.92,gelectra-base-germanquad,56.13,72.0
30,electra-base-de-squad2,replace_chara_random_verb_context_three_charas,54.99,71.01,bert-multi-english-german-squad2,52.31,68.13,xlm-roberta-base-squad2,50.27,66.02,gelectra-base-germanquad,56.62,71.95
31,electra-base-de-squad2,replace_chara_random_word_question_three_charas,48.73,64.35,bert-multi-english-german-squad2,48.05,62.8,xlm-roberta-base-squad2,45.69,61.15,gelectra-base-germanquad,52.82,67.66
32,electra-base-de-squad2,insert_chara_random_word_question_three_charas,50.07,65.46,bert-multi-english-german-squad2,48.25,64.27,xlm-roberta-base-squad2,46.07,61.27,gelectra-base-germanquad,52.29,67.36
33,electra-base-de-squad2,replace_chara_random_verb_question_three_charas,51.13,66.4,bert-multi-english-german-squad2,48.55,64.26,xlm-roberta-base-squad2,46.55,62.08,gelectra-base-germanquad,53.22,68.29
34,electra-base-de-squad2,repeat_chara_random_word_question_three_charas,50.39,66.07,bert-multi-english-german-squad2,48.21,64.14,xlm-roberta-base-squad2,46.66,62.39,gelectra-base-germanquad,52.89,67.92
35,electra-base-de-squad2,delete_chara_random_word_question_three_charas,49.93,64.8,bert-multi-english-german-squad2,48.52,63.67,xlm-roberta-base-squad2,45.52,60.53,gelectra-base-germanquad,52.61,67.74
36,electra-base-de-squad2,insert_punctuation_question_three_charas,42.97,56.93,bert-multi-english-german-squad2,42.06,55.23,xlm-roberta-base-squad2,44.42,58.42,gelectra-base-germanquad,45.96,60.84
37,electra-base-de-squad2,insert_chara_random_word_context_three_charas,53.0,69.64,bert-multi-english-german-squad2,50.27,66.59,xlm-roberta-base-squad2,48.59,65.28,gelectra-base-germanquad,55.1,71.27
38,electra-base-de-squad2,swap_chara_random_word_question_three_charas,50.5,65.58,bert-multi-english-german-squad2,49.0,64.16,xlm-roberta-base-squad2,46.82,62.38,gelectra-base-germanquad,52.45,67.22
39,electra-base-de-squad2,insert_punctuation_context_three_charas,54.67,70.59,bert-multi-english-german-squad2,52.36,68.08,xlm-roberta-base-squad2,49.64,66.29,gelectra-base-germanquad,56.67,71.96
40,electra-base-de-squad2,repeat_chara_random_word_context_three_charas,54.25,70.55,bert-multi-english-german-squad2,51.75,67.55,xlm-roberta-base-squad2,49.43,65.53,gelectra-base-germanquad,55.75,71.39
41,electra-base-de-squad2,insert_chara_random_verb_question_three_charas,50.91,66.98,bert-multi-english-german-squad2,49.36,64.62,xlm-roberta-base-squad2,46.23,61.48,gelectra-base-germanquad,53.68,68.48
42,electra-base-de-squad2,delete_chara_random_word_context_three_charas,53.53,70.47,bert-multi-english-german-squad2,50.43,66.78,xlm-roberta-base-squad2,48.16,64.96,gelectra-base-germanquad,55.53,71.67
43,electra-base-de-squad2,split_random_verb_question_three_words,49.28,65.24,bert-multi-english-german-squad2,46.79,62.72,xlm-roberta-base-squad2,45.96,61.4,gelectra-base-germanquad,52.38,67.46
44,electra-base-de-squad2,delete_random_verb_question_three_words,50.0,65.69,bert-multi-english-german-squad2,45.35,60.92,xlm-roberta-base-squad2,42.41,57.64,gelectra-base-germanquad,50.06,65.81
45,electra-base-de-squad2,delete_random_verb_context_three_words,55.4,71.32,bert-multi-english-german-squad2,52.68,68.72,xlm-roberta-base-squad2,50.0,66.17,gelectra-base-germanquad,57.58,72.48
46,electra-base-de-squad2,repeat_random_word_question_three_words,55.63,71.7,bert-multi-english-german-squad2,51.77,68.1,xlm-roberta-base-squad2,49.18,65.36,gelectra-base-germanquad,56.67,71.51
47,electra-base-de-squad2,split_random_verb_context_three_words,54.13,70.22,bert-multi-english-german-squad2,52.13,67.93,xlm-roberta-base-squad2,49.82,65.88,gelectra-base-germanquad,56.85,72.32
48,electra-base-de-squad2,split_random_word_question_three_words,39.11,51.02,bert-multi-english-german-squad2,38.61,53.09,xlm-roberta-base-squad2,39.38,53.86,gelectra-base-germanquad,41.52,56.42
49,electra-base-de-squad2,delete_random_word_context_three_words,52.29,70.26,bert-multi-english-german-squad2,49.84,67.15,xlm-roberta-base-squad2,47.39,64.53,gelectra-base-germanquad,53.11,71.07
50,electra-base-de-squad2,delete_random_word_question_three_words,33.3,46.14,bert-multi-english-german-squad2,30.08,42.53,xlm-roberta-base-squad2,27.81,40.63,gelectra-base-germanquad,32.03,47.26
51,electra-base-de-squad2,repeat_random_verb_question_three_words,54.6,71.5,bert-multi-english-german-squad2,52.27,68.32,xlm-roberta-base-squad2,49.34,65.59,gelectra-base-germanquad,56.64,71.87
52,electra-base-de-squad2,repeat_random_verb_context_three_words,55.72,71.51,bert-multi-english-german-squad2,52.22,67.97,xlm-roberta-base-squad2,50.27,66.37,gelectra-base-germanquad,56.81,72.24
53,electra-base-de-squad2,repeat_random_word_context_three_words,51.72,70.06,bert-multi-english-german-squad2,49.09,67.19,xlm-roberta-base-squad2,47.01,64.71,gelectra-base-germanquad,52.31,71.05
54,electra-base-de-squad2,split_random_word_context_three_words,51.45,68.36,bert-multi-english-german-squad2,48.23,65.67,xlm-roberta-base-squad2,46.6,63.83,gelectra-base-germanquad,51.81,69.54
55,electra-base-de-squad2,replace_chara_random_word_context_two_charas,53.39,70.54,bert-multi-english-german-squad2,50.43,66.38,xlm-roberta-base-squad2,48.84,65.15,gelectra-base-germanquad,55.44,71.61
56,electra-base-de-squad2,repeat_chara_random_verb_context_two_charas,55.08,71.07,bert-multi-english-german-squad2,53.18,68.96,xlm-roberta-base-squad2,50.64,66.16,gelectra-base-germanquad,57.76,72.64
57,electra-base-de-squad2,swap_chara_verb_context_two_charas,54.95,70.68,bert-multi-english-german-squad2,52.59,67.88,xlm-roberta-base-squad2,50.45,66.31,gelectra-base-germanquad,57.17,72.21
58,electra-base-de-squad2,swap_chara_verb_question_two_charas,52.59,68.25,bert-multi-english-german-squad2,50.0,65.72,xlm-roberta-base-squad2,48.09,63.34,gelectra-base-germanquad,54.54,69.56
59,electra-base-de-squad2,delete_chara_random_verb_question_two_charas,51.54,67.19,bert-multi-english-german-squad2,48.41,64.17,xlm-roberta-base-squad2,46.91,61.88,gelectra-base-germanquad,53.72,68.91
60,electra-base-de-squad2,insert_chara_random_verb_context_two_charas,55.17,70.96,bert-multi-english-german-squad2,52.68,68.37,xlm-roberta-base-squad2,50.05,66.22,gelectra-base-germanquad,56.85,72.29
61,electra-base-de-squad2,swap_chara_random_word_context_two_charas,54.28,70.47,bert-multi-english-german-squad2,51.73,67.82,xlm-roberta-base-squad2,49.45,65.92,gelectra-base-germanquad,56.1,71.69
62,electra-base-de-squad2,repeat_chara_random_verb_question_two_charas,51.54,67.59,bert-multi-english-german-squad2,49.73,65.29,xlm-roberta-base-squad2,48.32,63.83,gelectra-base-germanquad,53.81,68.84
63,electra-base-de-squad2,delete_chara_random_verb_context_two_charas,54.76,70.6,bert-multi-english-german-squad2,52.36,68.13,xlm-roberta-base-squad2,49.46,65.6,gelectra-base-germanquad,56.44,72.11
64,electra-base-de-squad2,replace_chara_random_verb_context_two_charas,55.04,70.81,bert-multi-english-german-squad2,52.81,68.61,xlm-roberta-base-squad2,50.36,65.91,gelectra-base-germanquad,57.26,72.51
65,electra-base-de-squad2,replace_chara_random_word_question_two_charas,50.68,65.7,bert-multi-english-german-squad2,49.27,64.74,xlm-roberta-base-squad2,46.68,62.4,gelectra-base-germanquad,52.36,68.04
66,electra-base-de-squad2,insert_chara_random_word_question_two_charas,49.57,65.09,bert-multi-english-german-squad2,47.93,63.75,xlm-roberta-base-squad2,45.8,61.17,gelectra-base-germanquad,51.57,67.43
67,electra-base-de-squad2,replace_chara_random_verb_question_two_charas,51.27,67.14,bert-multi-english-german-squad2,49.64,65.16,xlm-roberta-base-squad2,46.55,61.91,gelectra-base-germanquad,53.81,68.8
68,electra-base-de-squad2,repeat_chara_random_word_question_two_charas,50.89,66.36,bert-multi-english-german-squad2,49.57,64.68,xlm-roberta-base-squad2,47.98,63.27,gelectra-base-germanquad,53.43,68.85
