,model_electra,perturbation,exact_match_electra,f1_score_electra,model_bert,exact_match_bert,f1_score_bert,model,exact_match,f1_score,model_gelectra,exact_match_gelectra,f1_score_gelectra
69,electra-base-de-squad2,delete_chara_random_word_question_two_charas,50.34,65.57,bert-multi-english-german-squad2,49.57,64.72,xlm-roberta-base-squad2,45.88,61.12,gelectra-base-germanquad,51.66,67.37
70,electra-base-de-squad2,insert_punctuation_question_two_charas,48.05,62.81,bert-multi-english-german-squad2,47.01,61.28,xlm-roberta-base-squad2,45.24,60.82,gelectra-base-germanquad,50.91,65.51
71,electra-base-de-squad2,insert_chara_random_word_context_two_charas,53.57,70.32,bert-multi-english-german-squad2,51.02,67.32,xlm-roberta-base-squad2,48.75,65.23,gelectra-base-germanquad,54.8,71.2
72,electra-base-de-squad2,swap_chara_random_word_question_two_charas,52.68,67.74,bert-multi-english-german-squad2,49.77,64.98,xlm-roberta-base-squad2,48.0,63.06,gelectra-base-germanquad,53.27,68.16
73,electra-base-de-squad2,insert_punctuation_context_two_charas,55.63,71.08,bert-multi-english-german-squad2,52.36,68.14,xlm-roberta-base-squad2,50.14,66.22,gelectra-base-germanquad,56.85,71.94
74,electra-base-de-squad2,repeat_chara_random_word_context_two_charas,53.8,70.35,bert-multi-english-german-squad2,51.03,67.35,xlm-roberta-base-squad2,48.88,65.45,gelectra-base-germanquad,54.94,71.28
75,electra-base-de-squad2,insert_chara_random_verb_question_two_charas,50.95,67.32,bert-multi-english-german-squad2,48.55,64.05,xlm-roberta-base-squad2,46.32,61.75,gelectra-base-germanquad,53.04,68.1
76,electra-base-de-squad2,delete_chara_random_word_context_two_charas,53.48,69.96,bert-multi-english-german-squad2,50.8,66.82,xlm-roberta-base-squad2,48.75,65.16,gelectra-base-germanquad,55.21,71.54
77,electra-base-de-squad2,split_random_verb_question_two_words,50.64,66.63,bert-multi-english-german-squad2,47.91,63.71,xlm-roberta-base-squad2,47.01,61.88,gelectra-base-germanquad,52.59,67.63
78,electra-base-de-squad2,delete_random_verb_question_two_words,51.45,66.67,bert-multi-english-german-squad2,46.64,61.78,xlm-roberta-base-squad2,44.46,59.49,gelectra-base-germanquad,51.18,67.08
79,electra-base-de-squad2,delete_random_verb_context_two_words,54.9,70.86,bert-multi-english-german-squad2,52.27,68.06,xlm-roberta-base-squad2,49.77,65.84,gelectra-base-germanquad,56.62,72.11
80,electra-base-de-squad2,repeat_random_word_question_two_words,54.13,70.55,bert-multi-english-german-squad2,52.0,67.85,xlm-roberta-base-squad2,49.64,65.92,gelectra-base-germanquad,57.22,71.86
81,electra-base-de-squad2,split_random_verb_context_two_words,53.77,69.98,bert-multi-english-german-squad2,51.41,67.44,xlm-roberta-base-squad2,49.68,65.79,gelectra-base-germanquad,56.81,72.09
82,electra-base-de-squad2,split_random_word_question_two_words,44.24,59.54,bert-multi-english-german-squad2,44.74,59.41,xlm-roberta-base-squad2,43.1,58.56,gelectra-base-germanquad,50.23,64.68
83,electra-base-de-squad2,delete_random_word_context_two_words,52.97,70.62,bert-multi-english-german-squad2,50.57,67.09,xlm-roberta-base-squad2,47.75,65.24,gelectra-base-germanquad,54.79,71.12
84,electra-base-de-squad2,delete_random_word_question_two_words,42.14,56.14,bert-multi-english-german-squad2,38.87,52.98,xlm-roberta-base-squad2,36.6,50.53,gelectra-base-germanquad,41.6,56.66
85,electra-base-de-squad2,repeat_random_verb_question_two_words,54.76,71.14,bert-multi-english-german-squad2,52.63,68.48,xlm-roberta-base-squad2,49.86,65.74,gelectra-base-germanquad,56.76,72.12
86,electra-base-de-squad2,repeat_random_verb_context_two_words,55.17,70.75,bert-multi-english-german-squad2,52.04,67.87,xlm-roberta-base-squad2,49.86,66.11,gelectra-base-germanquad,56.4,72.11
87,electra-base-de-squad2,repeat_random_word_context_two_words,52.72,70.37,bert-multi-english-german-squad2,50.82,67.82,xlm-roberta-base-squad2,48.09,65.52,gelectra-base-germanquad,54.41,71.67
88,electra-base-de-squad2,split_random_word_context_two_words,51.5,68.91,bert-multi-english-german-squad2,49.0,65.69,xlm-roberta-base-squad2,47.78,64.54,gelectra-base-germanquad,52.72,70.31
89,electra-base-de-squad2,change_case_to_invert_question_one,55.13,70.95,bert-multi-english-german-squad2,3.36,6.26,xlm-roberta-base-squad2,27.04,38.89,gelectra-base-germanquad,7.85,16.29
90,electra-base-de-squad2,change_case_to_invert_context_one,7.35,12.41,bert-multi-english-german-squad2,3.36,5.7,xlm-roberta-base-squad2,5.67,9.06,gelectra-base-germanquad,2.9,5.43
91,electra-base-de-squad2,replace_chara_random_word_context_one,53.39,69.89,bert-multi-english-german-squad2,51.43,67.54,xlm-roberta-base-squad2,49.16,65.26,gelectra-base-germanquad,55.62,72.05
92,electra-base-de-squad2,swap_words_question_one,52.81,68.28,bert-multi-english-german-squad2,47.97,62.63,xlm-roberta-base-squad2,44.42,60.4,gelectra-base-germanquad,53.27,68.32
93,electra-base-de-squad2,change_case_to_title_question_one,55.31,71.06,bert-multi-english-german-squad2,47.82,63.36,xlm-roberta-base-squad2,48.23,63.54,gelectra-base-germanquad,53.31,68.71
94,electra-base-de-squad2,replace_umlaute_question_one,53.36,68.95,bert-multi-english-german-squad2,50.41,65.83,xlm-roberta-base-squad2,48.14,63.93,gelectra-base-germanquad,55.94,70.73
95,electra-base-de-squad2,repeat_chara_random_verb_context_one,54.95,70.97,bert-multi-english-german-squad2,52.0,67.77,xlm-roberta-base-squad2,49.64,65.7,gelectra-base-germanquad,57.03,72.47
96,electra-base-de-squad2,swap_chara_verb_context_one,55.08,70.96,bert-multi-english-german-squad2,51.86,67.58,xlm-roberta-base-squad2,49.73,65.9,gelectra-base-germanquad,56.99,72.2
97,electra-base-de-squad2,swap_chara_verb_question_one,52.27,68.09,bert-multi-english-german-squad2,49.36,65.05,xlm-roberta-base-squad2,48.28,63.39,gelectra-base-germanquad,54.99,69.81
98,electra-base-de-squad2,split_random_verb_question_one,51.5,67.38,bert-multi-english-german-squad2,48.87,65.04,xlm-roberta-base-squad2,47.91,63.09,gelectra-base-germanquad,53.99,68.88
99,electra-base-de-squad2,delete_chara_random_verb_question_one,52.22,67.63,bert-multi-english-german-squad2,49.59,64.99,xlm-roberta-base-squad2,47.6,62.37,gelectra-base-germanquad,54.63,69.49
100,electra-base-de-squad2,make_typo_qwertz_context_one,16.11,29.67,bert-multi-english-german-squad2,16.83,31.45,xlm-roberta-base-squad2,16.42,31.13,gelectra-base-germanquad,16.2,33.94
101,electra-base-de-squad2,make_typo_qwertz_question_one,32.85,45.16,bert-multi-english-german-squad2,36.03,48.55,xlm-roberta-base-squad2,35.57,47.61,gelectra-base-germanquad,36.12,50.58
102,electra-base-de-squad2,insert_chara_random_verb_context_one,54.9,70.89,bert-multi-english-german-squad2,52.18,68.06,xlm-roberta-base-squad2,50.14,66.0,gelectra-base-germanquad,56.99,71.9
103,electra-base-de-squad2,change_case_to_upper_context_one,7.99,13.76,bert-multi-english-german-squad2,3.77,6.38,xlm-roberta-base-squad2,6.4,10.73,gelectra-base-germanquad,3.58,6.94
104,electra-base-de-squad2,swap_chara_random_word_context_one,53.6,70.21,bert-multi-english-german-squad2,50.96,67.09,xlm-roberta-base-squad2,49.54,65.53,gelectra-base-germanquad,55.01,71.23
105,electra-base-de-squad2,repeat_chara_random_verb_question_one,50.18,66.1,bert-multi-english-german-squad2,50.09,65.88,xlm-roberta-base-squad2,48.41,63.55,gelectra-base-germanquad,55.08,69.59
106,electra-base-de-squad2,delete_chara_random_verb_context_one,55.04,70.99,bert-multi-english-german-squad2,52.13,67.92,xlm-roberta-base-squad2,49.86,66.01,gelectra-base-germanquad,57.08,72.32
107,electra-base-de-squad2,delete_random_verb_question_one,52.09,67.66,bert-multi-english-german-squad2,48.37,63.73,xlm-roberta-base-squad2,46.82,62.5,gelectra-base-germanquad,52.27,67.89
108,electra-base-de-squad2,delete_punctuation_context_one,52.81,69.25,bert-multi-english-german-squad2,50.27,66.99,xlm-roberta-base-squad2,47.37,63.03,gelectra-base-germanquad,54.63,71.77
109,electra-base-de-squad2,delete_punctuation_question_one,54.35,70.58,bert-multi-english-german-squad2,51.94,68.21,xlm-roberta-base-squad2,47.42,63.95,gelectra-base-germanquad,54.9,71.17
110,electra-base-de-squad2,replace_chara_random_verb_context_one,55.08,71.15,bert-multi-english-german-squad2,51.91,67.9,xlm-roberta-base-squad2,50.09,65.78,gelectra-base-germanquad,56.9,71.73
111,electra-base-de-squad2,replace_chara_random_word_question_one,51.23,66.8,bert-multi-english-german-squad2,49.41,65.28,xlm-roberta-base-squad2,46.78,62.21,gelectra-base-germanquad,54.04,68.84
112,electra-base-de-squad2,replace_with_contextual_synonym_question_one,50.27,65.82,bert-multi-english-german-squad2,47.94,63.09,xlm-roberta-base-squad2,45.75,61.88,gelectra-base-germanquad,52.06,67.17
113,electra-base-de-squad2,delete_random_verb_context_one,55.36,71.44,bert-multi-english-german-squad2,52.45,68.4,xlm-roberta-base-squad2,49.95,66.02,gelectra-base-germanquad,56.36,71.79
114,electra-base-de-squad2,replace_umlaute_context_one,43.15,61.24,bert-multi-english-german-squad2,42.65,60.28,xlm-roberta-base-squad2,41.42,58.67,gelectra-base-germanquad,44.15,63.87
115,electra-base-de-squad2,change_case_to_title_context_one,34.17,53.77,bert-multi-english-german-squad2,27.63,44.38,xlm-roberta-base-squad2,28.77,46.85,gelectra-base-germanquad,25.5,49.42
116,electra-base-de-squad2,swap_words_context_one,52.33,69.52,bert-multi-english-german-squad2,49.47,66.08,xlm-roberta-base-squad2,47.21,64.18,gelectra-base-germanquad,53.3,70.23
117,electra-base-de-squad2,insert_chara_random_word_question_one,50.64,65.97,bert-multi-english-german-squad2,50.05,65.74,xlm-roberta-base-squad2,46.68,62.16,gelectra-base-germanquad,54.54,68.91
118,electra-base-de-squad2,replace_chara_random_verb_question_one,51.54,67.41,bert-multi-english-german-squad2,49.23,65.52,xlm-roberta-base-squad2,48.14,63.09,gelectra-base-germanquad,54.67,69.39
119,electra-base-de-squad2,repeat_random_word_question_one,55.67,71.53,bert-multi-english-german-squad2,52.15,68.12,xlm-roberta-base-squad2,50.3,66.35,gelectra-base-germanquad,57.39,72.4
120,electra-base-de-squad2,replace_with_contextual_synonym_context_one,58.69,76.26,bert-multi-english-german-squad2,54.34,71.21,xlm-roberta-base-squad2,52.98,69.08,gelectra-base-germanquad,59.63,76.25
121,electra-base-de-squad2,change_case_to_upper_question_one,55.13,70.95,bert-multi-english-german-squad2,4.04,7.08,xlm-roberta-base-squad2,34.62,47.37,gelectra-base-germanquad,10.75,21.07
122,electra-base-de-squad2,repeat_question_one,47.91,61.54,bert-multi-english-german-squad2,50.59,65.38,xlm-roberta-base-squad2,44.01,58.6,gelectra-base-germanquad,46.96,60.24
123,electra-base-de-squad2,change_case_to_lower_question_one,55.31,71.06,bert-multi-english-german-squad2,48.82,63.68,xlm-roberta-base-squad2,48.32,63.21,gelectra-base-germanquad,53.58,68.14
124,electra-base-de-squad2,change_case_to_lower_context_one,10.75,28.31,bert-multi-english-german-squad2,10.07,26.11,xlm-roberta-base-squad2,10.07,26.03,gelectra-base-germanquad,8.58,29.25
125,electra-base-de-squad2,repeat_chara_random_word_question_one,50.84,66.45,bert-multi-english-german-squad2,50.52,66.06,xlm-roberta-base-squad2,46.98,62.71,gelectra-base-germanquad,54.43,69.87
126,electra-base-de-squad2,split_random_verb_context_one,54.81,70.74,bert-multi-english-german-squad2,51.59,67.57,xlm-roberta-base-squad2,50.09,66.04,gelectra-base-germanquad,57.03,72.39
127,electra-base-de-squad2,split_random_word_question_one,51.39,66.43,bert-multi-english-german-squad2,49.68,64.97,xlm-roberta-base-squad2,47.17,62.68,gelectra-base-germanquad,53.61,69.05
128,electra-base-de-squad2,delete_random_word_context_one,53.89,70.64,bert-multi-english-german-squad2,51.22,67.43,xlm-roberta-base-squad2,48.74,65.43,gelectra-base-germanquad,55.36,71.41
129,electra-base-de-squad2,delete_chara_random_word_question_one,50.43,66.08,bert-multi-english-german-squad2,50.16,65.48,xlm-roberta-base-squad2,47.75,63.23,gelectra-base-germanquad,53.61,68.78
130,electra-base-de-squad2,delete_random_word_question_one,48.96,64.42,bert-multi-english-german-squad2,46.41,61.32,xlm-roberta-base-squad2,44.19,59.38,gelectra-base-germanquad,50.67,66.19
131,electra-base-de-squad2,insert_punctuation_question_one,51.77,67.82,bert-multi-english-german-squad2,49.95,65.66,xlm-roberta-base-squad2,48.37,63.47,gelectra-base-germanquad,54.95,69.86
132,electra-base-de-squad2,insert_chara_random_word_context_one,53.53,70.1,bert-multi-english-german-squad2,51.39,67.4,xlm-roberta-base-squad2,48.88,65.05,gelectra-base-germanquad,56.03,72.25
133,electra-base-de-squad2,swap_chara_random_word_question_one,50.7,65.81,bert-multi-english-german-squad2,49.84,64.91,xlm-roberta-base-squad2,47.16,62.8,gelectra-base-germanquad,54.25,68.62
134,electra-base-de-squad2,repeat_context_one,52.77,68.03,bert-multi-english-german-squad2,52.59,67.94,xlm-roberta-base-squad2,50.0,65.02,gelectra-base-germanquad,55.85,71.08
135,electra-base-de-squad2,repeat_random_verb_question_one,54.76,71.07,bert-multi-english-german-squad2,52.4,68.14,xlm-roberta-base-squad2,50.0,65.7,gelectra-base-germanquad,57.26,72.34
136,electra-base-de-squad2,repeat_random_verb_context_one,55.5,71.4,bert-multi-english-german-squad2,52.59,68.46,xlm-roberta-base-squad2,50.18,66.16,gelectra-base-germanquad,56.4,72.15
137,electra-base-de-squad2,insert_punctuation_context_one,55.31,71.27,bert-multi-english-german-squad2,52.31,68.16,xlm-roberta-base-squad2,50.41,66.21,gelectra-base-germanquad,57.21,72.3
138,electra-base-de-squad2,repeat_chara_random_word_context_one,53.19,69.81,bert-multi-english-german-squad2,50.73,67.02,xlm-roberta-base-squad2,49.18,65.44,gelectra-base-germanquad,54.79,70.97
139,electra-base-de-squad2,insert_chara_random_verb_question_one,52.09,67.93,bert-multi-english-german-squad2,49.36,65.25,xlm-roberta-base-squad2,47.41,62.74,gelectra-base-germanquad,54.76,69.44
140,electra-base-de-squad2,repeat_random_word_context_one,53.98,70.77,bert-multi-english-german-squad2,51.45,68.03,xlm-roberta-base-squad2,49.29,66.01,gelectra-base-germanquad,55.45,71.71
141,electra-base-de-squad2,delete_chara_random_word_context_one,53.69,70.2,bert-multi-english-german-squad2,51.14,67.09,xlm-roberta-base-squad2,49.09,65.34,gelectra-base-germanquad,54.97,71.31
142,electra-base-de-squad2,split_random_word_context_one,53.63,69.9,bert-multi-english-german-squad2,50.96,66.93,xlm-roberta-base-squad2,49.31,65.24,gelectra-base-germanquad,55.56,71.37
